日期,区域,订单数,销售件数,销售金额,退货金额,净收入,活跃客户数,缺客户ID行数
2010-01-13,英国,39,7974,18025.95,199.86,17826.09,32,1092
2010-01-13,非英国,5,838,1931.76,146.41,1785.35,5,0
2010-01-14,英国,76,12964,28959.45,559.34,28400.11,57,868
2010-01-14,非英国,4,812,1531.2,54.5,1476.7,4,0
2010-01-15,英国,42,7429,11233.85,119.0,11114.85,34,5
2010-01-15,非英国,7,979,2106.05,98.35,2007.7,7,0
2010-01-17,英国,41,9911,17393.2,12.3,17380.9,35,1
2010-01-18,英国,44,10136,19414.13,87.53,19326.6,31,1045
2010-01-18,非英国,2,193,838.75,16.35,822.4,2,0
2010-01-19,英国,43,13792,28092.97,343.2,27749.77,37,725
2010-01-19,非英国,6,1472,3482.19,5.59,3476.6,6,0
2010-01-20,英国,64,7870,15243.23,1064.8,14178.43,56,374
2010-01-20,非英国,3,1604,1573.72,496.5,1077.22,2,0
2010-01-21,英国,60,7464,14272.7,424.07,13848.63,50,1
2010-01-21,非英国,3,65436,13086.53,0.0,13086.53,3,0
2010-01-22,英国,39,8515,19045.2,168.89,18876.31,33,544
2010-01-22,非英国,8,10029,15009.14,0.0,15009.14,6,0
2010-01-24,英国,51,8504,15373.31,26.39,15346.92,47,23
2010-01-24,非英国,1,339,503.53,0.0,503.53,1,0
2010-01-25,英国,60,9522,20317.84,87.24,20230.6,42,426
2010-01-25,非英国,3,503,2009.45,58.4,1951.05,3,0
2010-01-26,英国,60,7984,15825.71,460.43,15365.28,43,314
2010-01-26,非英国,8,14936,21917.83,0.0,21917.83,7,0
2010-01-27,英国,68,16545,25956.11,198.19,25757.92,54,504
2010-01-27,非英国,3,1289,1982.75,0.0,1982.75,3,0
2010-01-28,英国,64,10615,18762.2,450.41,18311.79,50,89
2010-01-28,非英国,5,627,1034.67,66.1,968.57,5,0
2010-01-29,英国,66,10145,18880.58,416.88,18463.7,48,370
2010-01-29,非英国,1,10,12.5,0.0,12.5,1,0
2010-01-31,英国,53,8978,15196.27,214.55,14981.72,44,29
2010-01-31,非英国,4,1740,3054.08,0.0,3054.08,4,0
2010-02-01,英国,64,7681,15695.29,65.52,15629.77,45,413
2010-02-01,非英国,6,1547,2421.42,0.0,2421.42,6,0
2010-02-02,英国,50,9616,17783.4,66.36,17717.04,37,10
2010-02-02,非英国,5,1476,3071.12,0.85,3070.27,3,57
2010-02-03,英国,49,9248,18826.92,65.74,18761.18,40,508
2010-02-03,非英国,7,1026,1847.54,76.2,1771.34,5,0
2010-02-04,英国,62,12378,21608.38,16.62,21591.76,49,5
2010-02-04,非英国,2,409,669.33,0.0,669.33,2,0
2010-02-05,英国,61,10144,20974.51,669.0,20305.51,49,285
2010-02-05,非英国,2,192,299.03,0.0,299.03,2,0
2010-02-07,英国,31,5371,8153.65,254.44,7899.21,25,4
2010-02-07,非英国,4,5806,8714.18,0.0,8714.18,4,0
2010-02-08,英国,56,6843,13267.14,75.8,13191.34,43,389
2010-02-08,非英国,7,1756,2619.58,503.9,2115.68,4,84
2010-02-09,英国,45,7102,13415.31,28.5,13386.81,41,156
2010-02-09,非英国,11,3748,5210.18,0.0,5210.18,11,0
2010-02-10,英国,33,3532,8530.63,447.45,8083.18,23,366
2010-02-10,非英国,3,220,304.88,0.0,304.88,3,0
2010-02-11,英国,54,8026,13021.54,89.36,12932.18,41,6
2010-02-11,非英国,9,999,1834.73,56.4,1778.33,9,0
2010-02-12,英国,33,6698,9823.75,42.15,9781.6,26,179
2010-02-12,非英国,5,947,1178.52,27.05,1151.47,3,1
2010-02-14,英国,48,9551,16141.47,162.95,15978.52,38,3
2010-02-14,非英国,2,1343,1544.11,0.0,1544.11,2,0
2010-02-15,英国,41,11285,20874.92,161.25,20713.67,31,20
2010-02-15,非英国,7,85134,20013.96,23.65,19990.31,6,0
2010-02-16,英国,67,15091,28235.46,214.65,28020.81,54,532
2010-02-16,非英国,4,1603,2131.77,35.9,2095.87,3,0
2010-02-17,英国,50,14366,20657.38,262.57,20394.81,42,16
2010-02-17,非英国,6,10645,5740.34,3651.2,2089.14,4,0
2010-02-18,英国,80,11131,20582.47,540.14,20042.33,72,2
2010-02-18,非英国,6,8721,15166.67,19.55,15147.12,3,1
2010-02-19,英国,62,12583,25823.01,132.39,25690.62,33,892
2010-02-21,英国,58,5105,10203.32,2156.13,8047.19,48,0
2010-02-21,非英国,2,446,1189.36,0.0,1189.36,2,0
2010-02-22,英国,47,12116,23840.81,127.48,23713.33,38,3
2010-02-22,非英国,7,1311,2512.77,12.5,2500.27,7,0
2010-02-23,英国,43,11124,20749.82,3.95,20745.87,38,158
2010-02-23,非英国,13,735,1528.45,142.11,1386.34,8,0
2010-02-24,英国,63,12779,21445.6,257.3,21188.3,48,270
2010-02-24,非英国,10,9665,11283.74,17.7,11266.04,3,0
2010-02-25,英国,85,25881,45220.35,1229.08,43991.27,65,166
2010-02-25,非英国,3,420,959.66,0.0,959.66,3,0
2010-02-26,英国,43,6881,15283.09,467.55,14815.54,30,367
2010-02-26,非英国,4,534,904.09,361.0,543.09,1,0
2010-02-28,英国,55,8081,15871.74,111.05,15760.69,47,0
2010-02-28,非英国,3,327,757.25,0.0,757.25,3,0
2010-03-01,英国,58,20681,24148.29,232.47,23915.82,47,168
2010-03-01,非英国,4,759,1249.05,210.0,1039.05,4,0
2010-03-02,英国,80,8905,21002.51,666.33,20336.18,68,474
2010-03-02,非英国,8,2982,4487.95,80.1,4407.85,7,0
2010-03-03,英国,65,13377,23066.85,159.26,22907.59,51,227
2010-03-03,非英国,12,6988,10371.32,65.52,10305.8,8,0
2010-03-04,英国,81,17382,29301.85,320.48,28981.37,69,244
2010-03-04,非英国,7,1143,2073.78,25.6,2048.18,6,0
2010-03-05,英国,72,13584,23180.53,0.0,23180.53,47,202
2010-03-05,非英国,9,4638,3596.06,0.0,3596.06,8,0
2010-03-07,英国,58,9575,17055.06,61.82,16993.24,47,9
2010-03-07,非英国,2,1336,2287.84,0.0,2287.84,2,0
2010-03-08,英国,72,14171,33493.02,312.3,33180.72,62,973
2010-03-08,非英国,9,1395,2332.41,63.7,2268.71,9,0
2010-03-09,英国,65,11322,19843.44,722.77,19120.67,55,223
2010-03-09,非英国,7,1021,1729.89,70.75,1659.14,7,0
2010-03-10,英国,72,17282,25195.53,369.65,24825.88,52,437
2010-03-10,非英国,7,636,1354.85,34.1,1320.75,5,0
2010-03-11,英国,52,12020,20565.35,111.0,20454.35,39,275
2010-03-11,非英国,1,2158,3425.26,0.0,3425.26,1,0
2010-03-12,英国,34,5695,11840.08,234.49,11605.59,27,266
2010-03-12,非英国,8,5330,9439.31,1.95,9437.36,6,0
2010-03-14,英国,24,3474,6955.02,12.75,6942.27,21,0
2010-03-14,非英国,1,1424,1968.98,0.0,1968.98,1,0
2010-03-15,英国,59,13342,23591.28,126.56,23464.72,39,631
2010-03-15,非英国,9,1711,2961.67,157.15,2804.52,7,0
2010-03-16,英国,81,12079,22298.05,817.68,21480.37,70,288
2010-03-16,非英国,8,758,1219.41,112.4,1107.01,6,0
2010-03-17,英国,49,13215,20423.68,170.33,20253.35,39,170
2010-03-17,非英国,4,65580,10065.38,7.95,10057.43,4,0
2010-03-18,英国,85,18981,35328.54,271.25,35057.29,68,160
2010-03-18,非英国,6,4636,4712.04,0.0,4712.04,4,34
2010-03-19,英国,62,12464,21301.25,244.36,21056.89,51,194
2010-03-19,非英国,4,878,2103.25,0.0,2103.25,2,31
2010-03-21,英国,60,11713,19160.38,243.14,18917.24,50,4
2010-03-21,非英国,2,510,1268.7,0.0,1268.7,2,0
2010-03-22,英国,79,11732,23138.87,431.48,22707.39,67,370
2010-03-22,非英国,5,1031,1660.4,32.45,1627.95,5,0
2010-03-23,英国,67,53964,30767.6,125.25,30642.35,55,165
2010-03-23,非英国,8,476,1516.76,33.4,1483.36,6,2
2010-03-24,英国,94,10161,23054.68,1239.68,21815.0,78,265
2010-03-24,非英国,9,4148,5129.14,108.92,5020.22,7,0
2010-03-25,英国,73,14731,28009.88,115.1,27894.78,59,234
2010-03-25,非英国,12,2272,3915.36,0.0,3915.36,10,0
2010-03-26,英国,63,13395,20218.09,145.04,20073.05,49,299
2010-03-26,非英国,9,7497,11896.05,100.6,11795.45,7,0
2010-03-28,英国,59,14484,22348.05,14.3,22333.75,55,0
2010-03-29,英国,89,25095,58937.67,87.75,58849.92,43,655
2010-03-29,非英国,4,30,45.34,63.5,-18.16,2,1
2010-03-30,英国,99,17646,35252.41,864.48,34387.93,76,465
2010-03-30,非英国,5,1603,2495.49,64.35,2431.14,5,0
2010-03-31,英国,84,13635,28964.88,198.89,28765.99,66,506
2010-03-31,非英国,2,0,0.0,72.8,-72.8,2,0
2010-04-01,英国,73,12820,24206.17,184.44,24021.73,65,229
2010-04-01,非英国,8,4364,5878.13,0.0,5878.13,8,0
2010-04-06,英国,59,12865,19114.0,447.1,18666.9,47,172
2010-04-06,非英国,1,153,252.52,0.0,252.52,1,0
2010-04-07,英国,57,14461,25031.38,78.0,24953.38,44,293
2010-04-07,非英国,9,9059,9442.43,2.75,9439.68,5,0
2010-04-08,英国,87,25961,46534.92,417.05,46117.87,68,477
2010-04-08,非英国,4,810,880.52,0.0,880.52,3,0
2010-04-09,英国,48,7248,13093.03,116.7,12976.33,31,179
2010-04-09,非英国,5,1824,3182.13,0.0,3182.13,4,11
2010-04-11,英国,41,8883,15571.1,77.85,15493.25,38,0
2010-04-11,非英国,3,2696,4017.95,0.0,4017.95,3,0
2010-04-12,英国,71,10331,22016.67,1123.68,20892.99,59,6
2010-04-12,非英国,9,2471,4733.48,85.45,4648.03,7,49
2010-04-13,英国,77,7747,15759.29,863.13,14896.16,65,38
2010-04-13,非英国,6,6690,10055.34,181.43,9873.91,4,0
2010-04-14,英国,55,14719,23850.2,587.53,23262.67,46,7
2010-04-14,非英国,6,1559,2995.83,12.75,2983.08,5,0
2010-04-15,英国,65,10310,18657.5,110.5,18547.0,54,34
2010-04-15,非英国,2,443,572.21,0.0,572.21,2,0
2010-04-16,英国,42,8680,13805.88,1495.31,12310.57,34,13
2010-04-16,非英国,5,6165,5542.37,0.0,5542.37,5,0
2010-04-18,英国,49,7956,17626.14,31.15,17594.99,40,0
2010-04-18,非英国,7,5002,6228.32,0.0,6228.32,3,0
2010-04-19,英国,74,15895,40226.36,259.1,39967.26,43,1942
2010-04-19,非英国,7,3442,3205.84,16.5,3189.34,5,0
2010-04-20,英国,68,12435,22623.89,106.75,22517.14,51,282
2010-04-20,非英国,5,1012,1677.3,30.85,1646.45,5,0
2010-04-21,英国,60,8377,17530.36,67.95,17462.41,46,160
2010-04-21,非英国,10,4873,9689.24,12.75,9676.49,7,48
2010-04-22,英国,116,18451,32493.72,1720.2,30773.52,101,204
2010-04-22,非英国,10,3106,4620.19,78.52,4541.67,9,0
2010-04-23,英国,55,9999,15851.14,1.65,15849.49,42,201
2010-04-23,非英国,4,202,382.15,64.14,318.01,4,0
2010-04-25,英国,48,7715,14913.03,355.8,14557.23,42,0
2010-04-25,非英国,2,635,1576.05,0.0,1576.05,2,0
2010-04-26,英国,96,17479,30901.56,62.6,30838.96,65,461
2010-04-26,非英国,5,2006,3870.75,0.0,3870.75,4,44
2010-04-27,英国,95,22789,44385.57,428.6,43956.97,73,260
2010-04-27,非英国,3,582,1487.7,12.75,1474.95,3,0
2010-04-28,英国,71,17324,28896.99,71.15,28825.84,58,197
2010-04-28,非英国,7,2031,3114.88,32.75,3082.13,7,0
2010-04-29,英国,88,14884,28295.37,232.34,28063.03,72,328
2010-04-29,非英国,8,2120,4018.65,170.59,3848.06,6,0
2010-04-30,英国,72,15270,24216.46,449.05,23767.41,57,282
2010-04-30,非英国,5,2227,3430.85,36.4,3394.45,4,41
2010-05-02,英国,38,5503,10878.25,54.0,10824.25,36,0
2010-05-02,非英国,3,790,1412.92,0.0,1412.92,3,0
2010-05-04,英国,69,8453,17850.47,518.7,17331.77,61,395
2010-05-04,非英国,10,2728,3704.6,98.95,3605.65,8,0
2010-05-05,英国,105,14786,25701.83,1267.58,24434.25,78,424
2010-05-05,非英国,5,810,1554.78,22.39,1532.39,4,0
2010-05-06,英国,96,10763,20679.12,1042.57,19636.55,76,351
2010-05-06,非英国,13,20302,32271.01,0.0,32271.01,11,0
2010-05-07,英国,71,22600,34725.17,826.45,33898.72,52,145
2010-05-07,非英国,2,561,740.01,0.0,740.01,2,0
2010-05-09,英国,60,9535,17899.45,53.15,17846.3,51,0
2010-05-09,非英国,4,2229,4918.37,0.0,4918.37,2,0
2010-05-10,英国,99,14076,28347.76,2490.37,25857.39,81,276
2010-05-10,非英国,7,1626,3271.14,36.55,3234.59,5,42
2010-05-11,英国,64,16118,24991.76,72.8,24918.96,56,337
2010-05-11,非英国,6,2025,3277.0,0.0,3277.0,6,0
2010-05-12,英国,56,14573,25615.96,122.7,25493.26,49,136
2010-05-12,非英国,14,7080,5379.76,0.0,5379.76,5,0
2010-05-13,英国,78,24614,36923.19,12668.77,24254.42,63,203
2010-05-13,非英国,7,2133,3434.95,29.7,3405.25,6,0
2010-05-14,英国,94,14345,18727.68,6736.25,11991.43,73,184
2010-05-14,非英国,5,0,0.0,190.35,-190.35,5,0
2010-05-16,英国,45,9129,15658.09,346.34,15311.75,36,0
2010-05-16,非英国,2,1872,2698.6,0.0,2698.6,2,0
2010-05-17,英国,68,12926,23542.06,1275.48,22266.58,57,204
2010-05-17,非英国,2,878,1543.15,0.0,1543.15,2,0
2010-05-18,英国,79,22012,27605.36,1595.04,26010.32,61,286
2010-05-18,非英国,3,425,818.57,24.4,794.17,3,0
2010-05-19,英国,65,9497,16763.3,613.27,16150.03,57,105
2010-05-19,非英国,4,146,782.8,80.07,702.73,4,0
2010-05-20,英国,79,14920,24322.5,267.18,24055.32,63,12
2010-05-20,非英国,5,665,1212.59,14.4,1198.19,5,0
2010-05-21,英国,59,7790,20170.16,302.22,19867.94,45,498
2010-05-21,非英国,10,2264,6381.78,23.7,6358.08,10,0
2010-05-23,英国,50,9241,17389.85,418.54,16971.31,38,18
2010-05-23,非英国,3,4638,7527.28,0.0,7527.28,3,0
2010-05-24,英国,70,31171,33297.61,134.65,33162.96,59,202
2010-05-24,非英国,6,1590,2145.33,124.25,2021.08,5,0
2010-05-25,英国,75,13514,19549.62,626.46,18923.16,59,204
2010-05-25,非英国,5,1487,2295.1,56.1,2239.0,5,0
2010-05-26,英国,100,15548,28458.11,257.32,28200.79,65,550
2010-05-26,非英国,9,3335,6299.4,42.75,6256.65,7,0
2010-05-27,英国,93,17821,30312.43,70.77,30241.66,77,213
2010-05-27,非英国,3,80,269.2,26.9,242.3,3,0
2010-05-28,英国,91,12063,20960.64,4097.12,16863.52,68,297
2010-05-28,非英国,4,560,543.46,456.0,87.46,3,0
2010-05-30,英国,35,6220,10733.47,108.65,10624.82,30,10
2010-06-01,英国,49,8077,15133.46,35.7,15097.76,33,304
2010-06-01,非英国,3,206,412.9,52.69,360.21,3,0
2010-06-02,英国,46,11527,15682.49,103.42,15579.07,37,278
2010-06-02,非英国,2,276,319.2,0.0,319.2,2,0
2010-06-03,英国,93,12255,21562.08,710.34,20851.74,72,303
2010-06-03,非英国,10,5323,7802.31,114.45,7687.86,8,0
2010-06-04,英国,49,7552,19455.1,5.45,19449.65,27,874
2010-06-04,非英国,5,596,842.23,47.75,794.48,5,0
2010-06-06,英国,71,12981,23799.46,101.7,23697.76,61,0
2010-06-06,非英国,2,1093,1601.19,0.0,1601.19,2,0
2010-06-07,英国,106,27845,46700.2,4060.03,42640.17,82,369
2010-06-07,非英国,7,1578,2154.58,110.55,2044.03,3,0
2010-06-08,英国,85,24961,49580.99,590.75,48990.24,63,454
2010-06-08,非英国,5,845,1699.55,211.2,1488.35,2,0
2010-06-09,英国,82,23792,35461.57,789.2,34672.37,67,224
2010-06-09,非英国,5,1613,2634.05,0.0,2634.05,5,0
2010-06-10,英国,89,9096,17097.61,2382.49,14715.12,76,5
2010-06-10,非英国,6,577,847.73,148.2,699.53,6,0
2010-06-11,英国,77,18798,26677.54,203.35,26474.19,62,343
2010-06-11,非英国,6,2574,6042.53,0.0,6042.53,4,0
2010-06-13,英国,75,10626,20437.47,135.6,20301.87,58,19
2010-06-13,非英国,3,492,957.02,0.0,957.02,3,0
2010-06-14,英国,66,13588,18735.34,953.26,17782.08,57,388
2010-06-14,非英国,6,2469,5094.41,0.0,5094.41,4,0
2010-06-15,英国,61,11866,19503.71,313.38,19190.33,46,427
2010-06-15,非英国,4,7620,10546.22,53.55,10492.67,4,0
2010-06-16,英国,88,17801,29496.1,127.99,29368.11,70,200
2010-06-16,非英国,3,1176,1438.26,0.0,1438.26,3,0
2010-06-17,英国,82,11378,21051.02,292.88,20758.14,64,180
2010-06-17,非英国,6,1816,2755.43,0.0,2755.43,4,0
2010-06-18,英国,53,6167,13297.24,116.59,13180.65,46,143
2010-06-18,非英国,3,3399,5096.59,0.0,5096.59,3,0
2010-06-20,英国,25,3417,7337.44,12.75,7324.69,24,0
2010-06-20,非英国,2,1066,1669.14,0.0,1669.14,2,0
2010-06-21,英国,44,10031,19004.9,10.95,18993.95,39,346
2010-06-21,非英国,1,2028,1956.84,0.0,1956.84,1,0
2010-06-22,英国,39,6208,12623.4,16.6,12606.8,31,282
2010-06-22,非英国,6,759,1680.45,68.0,1612.45,6,0
2010-06-23,英国,62,14721,24082.48,2.55,24079.93,49,392
2010-06-23,非英国,7,1501,3496.89,0.0,3496.89,5,0
2010-06-24,英国,95,7520,17731.6,1369.1,16362.5,61,535
2010-06-24,非英国,9,3750,6031.4,54.95,5976.45,7,24
2010-06-25,英国,42,7436,15681.73,15.25,15666.48,34,523
2010-06-25,非英国,2,558,1300.59,0.0,1300.59,1,15
2010-06-27,英国,62,10851,18706.92,1262.5,17444.42,52,0
2010-06-28,英国,66,22031,33860.61,8494.59,25366.02,58,335
2010-06-28,非英国,12,12490,19446.51,140.45,19306.06,10,0
2010-06-29,英国,66,18867,29797.81,332.0,29465.81,50,326
2010-06-29,非英国,11,2018,4291.03,0.0,4291.03,9,0
2010-06-30,英国,119,17479,28250.43,2709.6,25540.83,101,347
2010-06-30,非英国,12,3547,5788.07,187.05,5601.02,10,0
2010-07-01,英国,85,14100,25197.53,237.39,24960.14,75,140
2010-07-01,非英国,8,2370,4570.22,27.0,4543.22,8,0
2010-07-02,英国,46,6040,11725.94,92.55,11633.39,35,16
2010-07-02,非英国,6,2647,4830.63,103.33,4727.3,5,0
2010-07-04,英国,22,5302,10376.29,7.95,10368.34,20,0
2010-07-05,英国,99,15187,29757.11,531.64,29225.47,75,185
2010-07-05,非英国,10,1433,2721.87,46.35,2675.52,9,0
2010-07-06,英国,55,10898,20144.08,116.95,20027.13,44,378
2010-07-06,非英国,8,1051,2984.19,87.95,2896.24,8,0
2010-07-07,英国,79,11899,26090.81,419.95,25670.86,52,607
2010-07-07,非英国,6,2770,4883.11,0.0,4883.11,6,0
2010-07-08,英国,72,9517,17244.16,299.5,16944.66,59,29
2010-07-08,非英国,6,2227,2080.21,17.85,2062.36,5,0
2010-07-09,英国,38,5286,16859.39,3479.85,13379.54,29,393
2010-07-09,非英国,5,8782,20065.67,32.3,20033.37,4,0
2010-07-11,英国,29,5806,7784.95,2.9,7782.05,24,45
2010-07-12,英国,53,9014,17745.01,284.9,17460.11,39,290
2010-07-12,非英国,3,699,1549.97,0.0,1549.97,2,0
2010-07-13,英国,57,8224,17334.54,348.54,16986.0,38,302
2010-07-13,非英国,4,1816,3178.81,0.0,3178.81,3,39
2010-07-14,英国,95,10846,18440.54,1230.89,17209.65,77,297
2010-07-14,非英国,9,2533,4845.49,38.4,4807.09,7,65
2010-07-15,英国,76,26806,54216.34,69.61,54146.73,56,92
2010-07-15,非英国,6,1001,1988.86,0.0,1988.86,6,0
2010-07-16,英国,93,10751,17481.4,1063.41,16417.99,77,193
2010-07-16,非英国,8,3556,4869.9,1043.85,3826.05,5,0
2010-07-18,英国,40,8200,13040.67,195.74,12844.93,36,0
2010-07-18,非英国,2,1429,1903.22,0.0,1903.22,1,19
2010-07-19,英国,57,13571,24030.21,76.95,23953.26,52,231
2010-07-19,非英国,7,4955,6149.15,54.75,6094.4,7,0
2010-07-20,英国,58,11171,22756.65,404.95,22351.7,49,192
2010-07-20,非英国,3,910,1753.8,0.0,1753.8,3,0
2010-07-21,英国,75,12092,20527.23,445.21,20082.02,62,303
2010-07-21,非英国,5,1072,1247.16,39.45,1207.71,5,0
2010-07-22,英国,86,13398,25269.22,668.38,24600.84,62,422
2010-07-22,非英国,4,522,466.76,19.8,446.96,4,0
2010-07-23,英国,49,11773,22817.58,184.47,22633.11,38,170
2010-07-23,非英国,5,1538,2515.47,617.5,1897.97,4,0
2010-07-25,英国,51,11138,16282.72,23.65,16259.07,45,0
2010-07-25,非英国,7,382,707.49,155.55,551.94,6,0
2010-07-26,英国,68,13684,21685.85,1756.84,19929.01,51,382
2010-07-26,非英国,6,1308,2024.97,26.3,1998.67,6,0
2010-07-27,英国,72,13063,26132.13,1497.05,24635.08,53,17
2010-07-27,非英国,7,1245,2052.74,5.0,2047.74,6,13
2010-07-28,英国,79,12028,20428.44,349.62,20078.82,70,4
2010-07-28,非英国,3,1333,2805.68,0.0,2805.68,3,0
2010-07-29,英国,87,13320,32867.14,531.5,32335.64,72,437
2010-07-29,非英国,5,433,844.81,41.95,802.86,5,0
2010-07-30,英国,61,7977,14152.46,325.26,13827.2,44,128
2010-07-30,非英国,6,457,1650.85,129.75,1521.1,4,19
2010-08-01,英国,36,9674,30432.7,204.79,30227.91,29,0
2010-08-02,英国,65,11603,26306.09,178.34,26127.75,47,79
2010-08-02,非英国,3,257,533.81,0.0,533.81,3,0
2010-08-03,英国,74,15268,23025.93,763.07,22262.86,57,435
2010-08-03,非英国,4,1044,2146.16,10.38,2135.78,3,0
2010-08-04,英国,58,10839,18752.14,415.33,18336.81,51,374
2010-08-04,非英国,3,889,1569.43,0.0,1569.43,3,0
2010-08-05,英国,60,16318,22890.47,444.6,22445.87,54,29
2010-08-05,非英国,4,505,1358.96,421.4,937.56,3,76
2010-08-06,英国,53,9452,14172.76,1574.39,12598.37,39,73
2010-08-06,非英国,3,466,918.55,0.0,918.55,3,0
2010-08-08,英国,46,7628,13210.91,74.36,13136.55,40,1
2010-08-08,非英国,1,492,751.6,0.0,751.6,1,0
2010-08-09,英国,53,11831,17632.64,426.92,17205.72,41,18
2010-08-09,非英国,7,88383,13830.63,19.55,13811.08,6,0
2010-08-10,英国,49,7746,16577.59,958.03,15619.56,35,806
2010-08-10,非英国,4,12300,18145.02,0.0,18145.02,2,0
2010-08-11,英国,45,7919,19748.08,47.15,19700.93,33,305
2010-08-11,非英国,4,269,633.97,8.4,625.57,4,0
2010-08-12,英国,109,17632,27514.96,792.88,26722.08,79,262
2010-08-12,非英国,4,577,923.49,58.9,864.59,4,0
2010-08-13,英国,60,17494,35705.83,874.26,34831.57,42,632
2010-08-13,非英国,5,656,1007.3,20.45,986.85,3,27
2010-08-15,英国,57,16142,19539.51,133.85,19405.66,49,0
2010-08-15,非英国,4,1183,2323.67,0.0,2323.67,2,72
2010-08-16,英国,47,9229,17874.35,176.37,17697.98,36,269
2010-08-16,非英国,2,1846,2332.11,0.0,2332.11,2,0
2010-08-17,英国,60,13684,23618.73,388.97,23229.76,53,140
2010-08-17,非英国,4,4713,6547.63,10.0,6537.63,4,0
2010-08-18,英国,56,13987,23321.79,33.4,23288.39,45,236
2010-08-18,非英国,3,8857,13478.37,0.0,13478.37,3,0
2010-08-19,英国,75,18587,26278.45,371.4,25907.05,55,218
2010-08-19,非英国,9,3914,5962.49,56.45,5906.04,7,0
2010-08-20,英国,50,15855,20801.27,93.25,20708.02,41,269
2010-08-20,非英国,12,3113,4016.32,15.0,4001.32,10,0
2010-08-22,英国,59,12687,20822.59,63.6,20758.99,49,0
2010-08-22,非英国,5,1192,1773.42,0.0,1773.42,4,0
